Time,gtPos,gtVel,cmdPos,cmdVel,cmdJerk
5.099916458129882812e-02,3.995883525931276381e-05,-7.990920704654236317e-01,1.611882988606588185e+00,-8.110038799098511220e-01,1.570790886878967285e+00,5.245208740234375000e-06,0.000000000000000000e+00,1.081106886267662048e-01,3.003089443787132495e-11,-9.975626319646835327e-02,0.000000000000000000e+00,-0.000000000000000000e+00,1.915331813506782055e-05,-8.008561730384826660e-01,1.611912250518798828e+00,-8.092227578163146973e-01,1.570796847343444824e+00,-3.911004142764795688e-08,1.391640864312648773e-03,1.201413944363594055e-01,-1.009192597121000290e-02,-1.224173158407211304e-01,-5.975526291877031326e-03,-3.135097771883010864e-02,0.000000000000000000e+00,1.000000000000000000e+02,-1.317810297012329102e+00,-9.897274017333984375e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.013836860656738281e-01,5.185583722777664661e-05,-7.854657930186768056e-01,1.612371269856588185e+00,-8.227324050715942860e-01,1.570782661437988281e+00,-9.838734762013245927e-06,0.000000000000000000e+00,4.488051831722259521e-01,3.729816898703575134e-02,-3.277539610862731934e-01,0.000000000000000000e+00,-0.000000000000000000e+00,1.468513655709102750e-04,-7.854469418525695801e-01,1.612579941749572754e+00,-8.212005496025085449e-01,1.570796847343444824e+00,-4.605330516938010987e-08,1.603003707714378834e-03,4.491212368011474609e-01,2.436113171279430389e-02,-3.251860439777374268e-01,-7.631030166521668434e-04,-3.813689807429909706e-03,0.000000000000000000e+00,7.067098236083984375e+01,3.500300216674804688e+01,2.777167510986328125e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.519987583160400391e-01,2.431869506835937500e-05,-7.525111001781006337e-01,1.615248505269185841e+00,-8.427219551852722645e-01,1.570782661437988281e+00,-6.500874654591370927e-06,0.000000000000000000e+00,8.513280153274536133e-01,6.073211506009101868e-02,-4.436237514019012451e-01,0.000000000000000000e+00,-1.131653462488904873e-34,2.719499752856791019e-04,-7.507849335670471191e-01,1.615352511405944824e+00,-8.412017226219177246e-01,1.570796012878417969e+00,-4.871898227065685205e-07,1.757676713168621063e-03,8.467512130737304688e-01,4.683749377727508545e-02,-4.411371648311614990e-01,1.161493244580924511e-03,7.741318549960851669e-03,0.000000000000000000e+00,-1.785212516784667969e+01,-5.282604598999023438e+01,5.335734558105468750e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.024090290069580078e-01,1.601212534296792001e-05,-7.003647846034546376e-01,1.617117230092183888e+00,-8.646642130664368153e-01,1.570810556411743164e+00,-1.842180360966949593e-05,0.000000000000000000e+00,1.211049318313598633e+00,1.886991970241069794e-02,-4.027816355228424072e-01,0.000000000000000000e+00,-0.000000000000000000e+00,3.276087227277457714e-04,-6.974169611930847168e-01,1.616893529891967773e+00,-8.626319169998168945e-01,1.570796966552734375e+00,1.610861311007738550e-08,-6.062934407964348793e-04,1.202976942062377930e+00,5.989512894302606583e-03,-3.955467939376831055e-01,-8.884641574695706367e-04,-2.014765329658985138e-02,0.000000000000000000e+00,-1.684399414062500000e+01,3.251588344573974609e+00,8.108774566650390625e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.527887821197509766e-01,5.184411929803900421e-05,-6.322567027858276845e-01,1.615428272877828419e+00,-8.787384790233154774e-01,1.570756554603576660e+00,-1.031557192021637093e-05,0.000000000000000000e+00,1.461032629013061523e+00,-1.125385165214538574e-01,-1.491014808416366577e-01,0.000000000000000000e+00,9.146195225184783340e-05,2.784058742690831423e-04,-6.286495327949523926e-01,1.614586234092712402e+00,-8.755785226821899414e-01,1.570795774459838867e+00,-1.134251306211808696e-06,3.646755067165941000e-04,1.454513788223266602e+00,-1.294871419668197632e-01,-1.415280252695083618e-01,-1.182237081229686737e-02,-6.974062323570251465e-02,0.000000000000000000e+00,-6.975637817382812500e+01,-8.349940490722656250e+01,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.031671047210693359e-01,8.833409083308652043e-06,-5.528740447810669423e-01,1.602484051381246388e+00,-8.731552523425598622e-01,1.570770740509033203e+00,8.797645023150835186e-06,-6.784261495340615511e-05,1.523200511932373047e+00,-3.994999229907989502e-01,3.932910859584808350e-01,0.000000000000000000e+00,7.933785673230886459e-05,1.999930245801806450e-04,-5.528475046157836914e-01,1.601148843765258789e+00,-8.680251836776733398e-01,1.570798873901367188e+00,1.791978434084740002e-06,-2.123615937307476997e-03,1.498120665550231934e+00,-4.089433550834655762e-01,3.846186995506286621e-01,-1.130146556533873081e-04,-4.608833044767379761e-02,0.000000000000000000e+00,-1.000000000000000000e+02,-2.751391601562500000e+01,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.535649776458740234e-01,-1.556078066045074593e-05,-4.794985812953491688e-01,1.572637383137838185e+00,-8.344227236560364247e-01,1.570827364921569824e+00,-3.163014547169495927e-06,-4.726658517029136419e-04,1.392246007919311523e+00,-8.321486115455627441e-01,1.163858175277709961e+00,8.098299137192036674e-35,1.394260762026533484e-04,1.948172721313312650e-04,-4.803398549556732178e-01,1.570263981819152832e+00,-8.275463581085205078e-01,1.570795774459838867e+00,-1.933389967234688811e-06,4.932235926389694214e-03,1.366935729980468750e+00,-8.446597456932067871e-01,1.142668485641479492e+00,-2.346667926758527756e-03,4.845072049647569656e-03,0.000000000000000000e+00,-4.123613357543945312e+01,-1.000000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.039547443389892578e-01,3.280169039499014616e-05,-4.154340785792847157e-01,1.514984909688131154e+00,-7.509113115123291493e-01,1.570810675621032715e+00,3.289698724984191358e-05,6.987148663029074669e-05,1.148770809173583984e+00,-1.496246695518493652e+00,2.175414085388183594e+00,4.750396692543290555e-05,1.876067108241841197e-04,4.003366047982126474e-04,-4.173081219196319580e-01,1.511227965354919434e+00,-7.416554689407348633e-01,1.570796251296997070e+00,-1.627431061024253722e-06,8.643171750009059906e-03,1.125277996063232422e+00,-1.504648685455322266e+00,2.130497694015502930e+00,-2.363513410091400146e-02,-1.265419125556945801e-01,0.000000000000000000e+00,-4.647514724731445312e+01,-8.482542419433593750e+01,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.543468952178955078e-01,-6.500874654591370927e-06,-3.666027349284668446e-01,1.418598477040426076e+00,-6.143778723529358388e-01,1.570801615715026855e+00,5.342008444131352007e-05,3.979665925726294518e-04,7.696776390075683594e-01,-2.386063098907470703e+00,2.971595764160156250e+00,-1.786916400305926800e-04,1.396218780428171158e-03,8.590333745814859867e-04,-3.700002729892730713e-01,1.413233280181884766e+00,-6.038616299629211426e-01,1.570799589157104492e+00,1.490085878685931675e-06,1.146181486546993256e-02,7.357841134071350098e-01,-2.399901866912841797e+00,2.972085952758789062e+00,-2.829851023852825165e-02,-2.051234692335128784e-01,0.000000000000000000e+00,-7.490914916992187500e+01,-1.000000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.049209594726562500e-01,9.992110426537692547e-05,-3.424477142146606923e-01,1.278525654469625294e+00,-4.660740655711670399e-01,1.570803403854370117e+00,-1.365343202763824593e-05,-1.051933132112026215e-02,1.613926291465759277e-01,-2.986404895782470703e+00,2.998211622238159180e+00,1.755563309416174889e-03,-9.793056051421444863e-06,1.370936166495084763e-03,-3.480205237865447998e-01,1.272637724876403809e+00,-4.546344876289367676e-01,1.570791244506835938e+00,-2.973740492961951531e-06,4.190434236079454422e-03,1.206580102443695068e-01,-2.976887941360473633e+00,2.977518558502197266e+00,2.500010887160897255e-03,1.398293022066354752e-02,0.000000000000000000e+00,-1.000000000000000000e+02,2.163986015319824219e+01,-5.453827285766601562e+01,0.000000000000000000e+00,0.000000000000000000e+00
